size of grid,rate
0,-inf
10,0.5908971285474637
20,0.5901488087282324
30,0.5920338571128209
40,0.5922894922762637
50,0.5922407272827187
60,0.5922280710470411
70,0.5922525312556983
80,0.592253811339167
90,0.5922775041922723
