size of grid,rate
0,-inf
10,0.6334500095393596
20,0.634080545963133
30,0.6341513676467067
40,0.6341644422566167
50,0.6341649306711993
60,0.6341625987876466
70,0.6341594716604636
80,0.6341566395594598
90,0.6341558779239056
