n,gamma,aldelt,rate
1000,0.3473892112083115,0.18858632787726506,0.00907462083966784
10000,0.17166979066078603,0.040949150623804255,0.37501526923558154
100000,0.06707035611184306,0.00889159333916464,0.5269688761565556
1000000,0.029470517025518096,0.0019306977288832496,0.5922407272827187
10000000,0.012949258422052624,0.00041922674352369186,0.6212407845621204
100000000,0.0071968567300115215,0.00010985411419875583,0.6339914840783412
1000000000,0.0031622776601683794,2.3853440064314213e-05,0.639984828306863
10000000000,0.0031622776601683794,7.5431200633546225e-06,0.6420794371537997
