n,gamma,aldelt,rate
1000,0.3721406147404329,0.3390806681894053,0.07685436790567618
10000,0.1555676143930472,0.042292428743894966,0.38261745543610826
100000,0.06503262930552246,0.008399287059458457,0.5278223898316672
1000000,0.028813496284414607,0.0018307382802953678,0.5923587274060773
10000000,0.012766169490574082,0.0003990341831649377,0.621241375440375
100000000,0.00565620644760902,8.697490026177834e-05,0.6341610867771126
