n,gamma,aldelt,rate
1000,0.2782559402207124,0.14677992676220697,-0.005186462954517135
10000,0.14677992676220694,0.046415888336127795,0.36900018819705005
100000,0.04084238652674522,0.00527499706370262,0.5185948642702917
1000000,0.021544346900318832,0.0016681005372000592,0.5908971285474637
10000000,0.021544346900318832,0.0005274997063702619,0.6192847962791339
100000000,0.005994842503189409,5.994842503189409e-05,0.6334499699011633
